0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
Aminoglutethimide,0.12457103,-0.0017262163,0.18017611,-0.22790132,-0.110689886,0.60992205,-0.15748228,-0.058232013,-0.61588675,-0.4266473,-0.22306249,-0.15785533,-0.0043839114,-0.6122437,-0.0126482695,-0.23069006,-0.13081227,-0.6937528,-0.31274801,0.17585061,0.024179872,-0.12037825,0.40225142,-0.7815164,0.4171828,-0.19476047,0.18392484,0.35764945,0.42712533,-0.38399962,0.0458896,-0.027361806,-0.17257343,0.2834139,0.39098454,-0.53822774,0.23390707,0.2437096,0.73156524,0.32946563,-0.52681434,0.70122963,-0.16701724,0.112492695,0.059155904,0.040079854,0.50405735,0.20894913,-0.34157813,0.13184884
Dolutegravir,0.37413508,0.16787432,-0.23819306,-0.3890875,0.09295448,0.022802616,0.5793079,-0.35820338,-0.15300241,-0.17310697,-0.15327641,-0.27940908,-0.018215692,-0.14802304,0.16052738,-0.042417374,0.27828807,-0.48242903,0.16842067,0.2471423,0.27248052,0.18382895,0.01954772,-0.4174225,0.14600116,-0.06293385,-0.15583096,0.0433572,0.008895188,-0.28679976,0.10361757,0.0096716825,-0.2829614,0.105673976,0.10048774,0.10990783,0.42834306,-0.21382771,0.22763877,-0.3528596,-0.4996304,0.65218925,-0.3254976,0.34137025,-0.36513036,0.37510997,0.20458096,0.06461135,-0.19441889,0.1348699
Bexarotene,-0.06358453,-0.02987776,0.1475929,-0.16380514,0.2091569,0.4415837,-0.054186862,0.13409467,-0.2795089,-0.28185022,-0.06251115,0.078685686,-0.23645222,-0.3852718,-0.06125987,-0.14033076,-0.23741616,-0.47326759,-0.38033748,0.2801619,0.14927298,0.02631742,0.38573736,-0.34390882,0.16464993,-0.3164704,0.41877568,0.5476684,0.20904446,-0.15500624,0.20410568,0.34134734,-0.07653042,0.37296715,0.09061686,-0.9336057,0.4829302,0.29044306,0.048918054,0.5227726,0.02987155,0.6402072,-0.38923988,0.17868926,-0.26745683,0.31134647,0.2577507,0.3028066,-0.49671134,-0.46886596
Lamivudine,0.27600896,0.1996263,-0.17338826,0.20865537,0.35096106,0.03175749,0.5289788,0.08321456,0.123155795,0.2613493,0.6613754,-0.061182506,0.13795494,-0.3276681,0.04444795,-0.2177187,0.27767566,-0.38230234,0.12911496,0.3999026,-0.06802219,0.17045,0.3125666,-0.5617809,-0.04394806,-0.13365929,0.06612976,-0.13815473,-0.3254552,0.12152641,0.14173754,0.14127901,-0.45636812,0.08963894,-0.1955101,-0.095389456,0.6681324,-0.019300113,0.11740821,0.25438422,-0.42832586,0.5975437,-0.048698843,0.15875988,-0.42095304,0.15071788,0.21937767,-0.19795588,-0.13219483,-0.22846149
Crizotinib,-0.0054714144,-0.21087927,0.13058968,0.023748403,-0.2064768,-0.22632073,-0.042101767,-0.13612233,-0.3016219,-0.10915454,0.09334551,-0.075954475,0.37656862,-0.44641417,-0.17012258,0.10265115,-0.29044655,-0.36373073,0.014654498,0.3216462,-0.047507517,0.29242343,-0.3836388,-0.8546524,0.15028271,0.047963355,0.1478705,0.462307,0.44637758,-0.018478835,-0.32948217,-0.19887426,-0.40599307,-0.014029218,-0.0027598813,-0.29231697,-0.10492741,-0.46827793,0.22622992,-0.029328553,-0.36037993,0.38022608,-0.07675883,0.18320696,-0.2784518,0.59141606,0.25502414,-0.20137544,0.018847646,-0.01977949
Cyclosporine,-0.3179724,0.008182625,0.6706403,0.40994823,0.14291115,0.36432686,0.45405707,-0.14526933,0.24352425,0.076025054,-0.030163,-0.012155858,-0.09656956,-0.012749961,-0.21446033,0.357923,0.10117296,-0.037780136,-0.38126016,-0.04989073,0.11448489,0.40176764,0.0042504696,-0.3078733,0.58266664,0.18662077,0.1792333,0.2771787,-0.04326655,-0.6551436,0.3699279,0.18863517,-0.29742905,-0.29076663,0.20355529,0.19453079,0.7024956,-0.0498039,-0.01222283,-0.13491273,0.35321128,0.2551001,0.217321,0.03760825,-0.3968901,0.19082077,0.13715504,0.25438404,-0.79048216,0.111927405
Dasatinib,-0.09457149,0.0009989805,0.23796389,-0.46794006,-0.15740916,0.0044741957,0.30101335,-0.49756747,-0.1515865,0.05980313,-0.2483854,-0.22258495,0.035588022,-0.08721439,-0.676181,0.0018127565,0.20755306,-0.6696859,-0.13624972,0.18929702,-0.29649282,-0.34213507,0.10819153,0.16704626,0.20784445,-0.055136923,0.15991145,-0.023302373,0.23599419,0.022403574,-0.23465158,-0.26485565,0.009023693,-0.084158786,-0.07844574,0.13579185,0.15466629,-0.09417948,0.002909116,-0.06311396,-0.2231019,0.43141007,-0.44916028,0.07622306,-0.26833937,0.6539242,0.3429672,0.17436826,-0.5011883,-0.08228319
Enzalutamide,0.013099593,-0.18165798,0.21208006,-0.14248902,-0.0058287885,0.12546074,0.15767272,-0.42739144,-0.32977772,-0.07153426,-0.21519653,-0.24508907,-0.030873138,-0.13693997,0.01608854,-0.15394302,-0.30277824,-0.63399225,-0.23474863,0.10980563,-0.059520192,-0.022065928,-0.19046462,-0.19722658,0.29974437,-0.026537532,0.42097285,0.23292565,0.08345969,-0.51045316,-0.14144047,-0.36772224,-0.10384069,0.078540646,0.015529333,-0.29341352,0.15438502,-0.28415167,0.532065,-0.15100083,-0.16838878,0.7936331,0.07177671,0.1412556,-0.2754844,0.43283805,0.38184837,0.04563771,-0.12617773,0.17993008
Imatinib,0.24710034,-0.19433542,0.19926688,0.07171804,0.09133253,-0.28271043,-0.16951714,-0.033931468,-0.52597594,-0.09302247,-0.17574435,-0.0048784954,0.42279163,-0.3878158,-0.28438383,-0.0062799426,0.15412886,-0.4454549,0.059742052,-0.018124983,-0.0034645826,0.00921538,0.45256713,-0.28157085,0.21921805,-0.07511221,0.14893717,0.34503704,0.085864805,-0.1753364,0.18664838,-0.23652324,-0.26996747,-0.28116393,0.3130956,-0.47816172,0.04892063,-0.22262399,0.013405012,0.19029112,-0.23352104,0.4902591,-0.15662377,-0.13451627,-0.17269331,0.32072052,0.20934285,0.45185426,-0.41480112,0.23015133
Nilotinib,-0.009639473,-0.10527953,0.38794556,-0.35718468,0.025617668,0.0032112913,0.15177539,-0.19509922,-0.22940052,0.0874137,-0.05253322,-0.12199129,0.23051433,-0.42420617,-0.3475869,0.109734885,0.13908924,-0.4720439,-0.3870439,0.3448153,0.048035152,0.27142352,0.0179502,0.09698624,0.051502373,0.060698815,0.2882105,0.25949472,0.2923108,0.06020702,-0.29532287,-0.03704155,-0.07021094,-0.109934725,-0.113234915,-0.16488288,0.031307008,-0.4250526,0.10252886,-0.0058209524,-0.32921144,0.21168448,-0.29345903,0.10209711,-0.5103154,0.47173792,0.27033165,0.3022384,-0.45866746,0.12781626
Regorafenib,0.33719674,0.21957392,0.0040958263,-0.14543235,-0.0046311533,0.38853106,0.42084548,-0.5520591,0.20195785,0.33398038,-0.17502683,0.08156683,0.5475245,0.014556631,-0.45845732,-0.16507794,0.48732632,-0.2990635,-0.16335678,-0.07694974,-0.1426828,-0.72580063,0.35074744,-0.8052337,0.30345163,0.0024729075,-0.18890534,-0.19629893,0.19783835,-0.434393,-0.008647325,-0.13948199,0.10565048,0.32985532,0.18763825,0.4340137,0.5003724,0.3346684,-0.23280545,-0.36645836,-0.408781,0.730827,-0.7942079,-0.317185,-0.4429585,0.76843,0.14790966,-0.2714093,-0.22089526,0.04473815
Sorafenib,-0.16478565,-0.1790071,0.29839125,-0.6528584,-0.2264498,-0.017693644,0.017390592,-0.06686408,-0.11060979,0.1971933,0.26550174,-0.13863835,0.27514327,-0.5514998,0.14371856,0.0959054,0.3683441,-0.55450094,-0.24375351,0.3023373,-0.052945897,-0.036340043,-0.07163478,-0.6638475,0.05800462,0.10638309,0.18160594,0.09543262,-0.0057274383,0.033215072,-0.29356515,-0.025906432,0.2590274,0.33076537,-0.16138355,0.3429734,0.107647784,-0.52990353,-0.07485114,-0.47785786,-0.3610322,0.46088973,-0.065628245,-0.04350516,-0.29650465,0.44517148,0.35112697,-0.068993285,-0.20359676,0.22522885
Vemurafenib,0.18001996,-0.14599006,0.27178112,-0.1285752,0.06631699,0.050870016,0.07345494,0.05745768,-0.4505532,-0.03857543,-0.20445566,0.010904419,0.35183573,-0.53963387,0.08893475,0.16058163,-0.079752155,-0.69620895,-0.014835335,0.30093455,-0.2840779,-0.18113875,0.00265156,-0.5477445,-0.0050446354,-0.21792494,0.06764338,0.082918845,0.12820248,-0.13909715,-0.35359627,-0.2786639,0.0032786287,0.17016508,0.078125685,-0.2952995,-0.09518555,-0.41327173,0.15254223,-0.13785663,-0.4134285,0.6295185,-0.03835529,0.20274171,-0.3571483,0.5827992,0.1556763,0.11691574,-0.25388476,0.35085046
Zidovudine,0.20601544,-0.06943806,0.26006508,-0.001397274,-0.34591684,-0.27728015,0.21309792,0.055531543,0.0331727,0.14460751,-0.20322448,0.12318752,0.32722157,-0.28705207,-0.13180181,-0.4707131,0.068300545,-0.27927542,0.21012683,0.06875186,-0.16930935,0.21503419,0.3100492,-0.3078862,0.33722025,-0.1279848,0.27339196,-0.13248351,-0.43256718,-0.06003768,-0.25707635,0.37649643,-0.113792226,0.25348535,0.06351037,-0.13942388,0.33502093,-0.35686776,-0.03467531,0.43108428,0.07807389,0.4661559,-0.28103697,0.09615248,-0.41070953,0.024423363,0.28349975,-0.2678751,-0.32763743,-0.1689015
Adalimumab,0.01998724,0.14443383,0.098475054,0.04318046,-0.11044894,-0.18761292,-0.1902342,-0.5390617,0.004380992,0.24892381,-0.19172925,0.5450852,0.12909333,-0.26712593,-0.34284413,-0.48192248,0.10647945,-0.345163,-0.14797008,0.18837376,-0.26439595,0.44158864,0.044793833,-0.33760327,0.19357088,0.12213518,0.27406374,-0.124287315,-0.044907536,0.05771608,0.24334091,0.3896588,-0.6046547,-0.038853765,0.25329167,0.08392689,-0.090126544,-0.39968196,-0.41000384,0.38183612,0.049434777,0.44760802,-0.12781829,0.10448657,-0.26567936,-0.025457067,0.41770798,-0.13808832,-0.0707522,-0.46008438
Aldesleukin,0.57184047,0.042401373,-0.2289383,0.64785916,0.08407117,-0.65121007,-0.4462958,0.06831984,-0.22099325,-0.25401673,-0.15158632,-0.7096024,0.47830206,0.09549711,0.13565932,-0.34933797,0.32207254,-0.14235,0.2761794,0.15648492,0.23109286,0.4704593,0.0065723723,-0.26879436,0.08486163,0.66635525,0.80976796,-0.17431167,0.24828693,-0.5655483,-0.020125546,0.12232826,0.2757971,-0.66770303,-0.15034851,-0.21049467,0.43816048,-0.24728112,-0.47275206,0.46788013,-0.0070305862,0.056237213,-0.009383295,-0.21264584,-0.5296022,-0.068920426,0.32202658,0.027966272,-0.44339925,0.17339948
Alefacept,-0.17965338,0.13915733,0.17774166,-0.17586651,0.074358344,-0.05294117,-0.05594102,-0.29257762,0.065710716,0.11618385,-0.26391152,0.5982209,0.12667124,-0.24045771,-0.26469114,-0.4188953,0.11263475,-0.40799388,-0.05458149,0.32142687,-0.053937815,0.15046728,0.115534626,-0.23084518,-0.02019573,-0.21433568,0.39347816,-0.29559228,-0.0039035804,-0.034652486,0.3523024,0.52417564,-0.3491766,-0.06933145,0.14556651,0.06134166,-0.19206895,-0.5050295,-0.20693946,0.62581044,-0.07495588,0.71445274,-0.20298356,-0.001575479,-0.060620785,-0.111430325,0.6199919,-0.0038133792,-0.42698082,-0.3657806
Alemtuzumab,-0.08465167,0.033723053,-0.16396686,-0.03235626,-0.3886956,-0.304559,0.16167866,-0.4060157,0.26131907,0.31540257,-0.079097874,0.38601667,0.42009982,-0.021850467,-0.58224994,-0.13941139,0.25794318,-0.17738542,-0.03258806,0.27541524,-0.18322408,0.35332847,0.32653296,-0.1477221,0.11986358,0.07894505,0.4526069,-0.041899968,0.17317638,-0.16798557,0.11778277,0.49865702,-0.015122178,0.08472612,-0.06559428,0.16223425,0.4586576,-0.47152796,-0.17656155,0.41313905,0.17439602,0.5549955,-0.41356352,-0.26142994,0.02181542,-0.024678404,0.28847206,-0.19259895,-0.14568658,-0.57739264
Altretamine,0.06745943,0.5736556,-0.052536037,-0.06604826,-0.75442004,-0.4029878,-0.29793563,0.08090006,-0.12537323,0.26572344,-0.03085695,-0.010926231,0.50368,-0.0050249645,0.04695152,0.24145295,0.4868119,-0.33162057,0.050321914,0.34889436,-0.44841233,0.19168425,0.06301577,-0.27206498,-0.1572269,0.3711183,0.4882115,-0.21341164,-0.73276275,0.07438698,-0.5284546,0.06673289,0.18511914,-0.18261816,0.010770657,-0.3877771,0.30792025,-0.65621537,-0.7299424,0.7615677,-0.3794362,0.025710225,0.21598493,0.06124557,-0.008341305,0.20466638,0.38360184,0.36187214,-0.42217195,-0.2049066
Anakinra,-0.041492477,0.22227035,0.1767058,-0.19788598,-0.11760958,-0.0649753,0.008461592,-0.40314996,0.036056746,-0.011259477,-0.2613296,0.51518613,0.20816796,-0.21446396,-0.25493303,-0.5468531,0.07353254,-0.42843246,-0.08537908,0.29424804,-0.038248524,0.100339234,-0.035878632,-0.22983842,0.07426326,0.01810387,0.29983002,-0.21864101,-0.02211715,-0.15993418,0.4034394,0.42907822,-0.4012556,-0.026495235,0.12836583,0.0313974,-0.26833403,-0.54555714,-0.43046084,0.6410331,0.030426206,0.6896843,-0.039722458,0.04253531,-0.12875736,-0.12316723,0.58994305,-0.1002988,-0.41676614,-0.35763013
Bleomycin,0.08775538,-0.26483172,0.10621257,-0.0012247777,-0.21979183,-0.20226328,-0.05028719,-0.3733634,-0.14704649,0.5043293,-0.032669377,0.037310123,0.22308366,-0.32692865,-0.44277817,-0.20410563,0.46670493,-0.3801004,0.119197786,0.24879448,-0.117463045,0.17727771,0.36223036,-0.11737464,0.10031862,0.1487254,0.2540111,-0.19185393,-0.52889764,-0.4817119,-0.11761043,0.098037265,-0.25540882,0.03639159,0.14078669,-0.110097446,0.46584958,-0.5428559,-0.43456358,0.5918842,0.0015777845,0.00938685,-0.0976799,0.19056232,-0.1870466,-0.42455515,0.46760824,-0.069602706,-0.21140173,-0.38736853
Bortezomib,-0.16297121,-0.15234014,-0.129743,-0.37911838,0.20041272,-0.013572712,-0.60774136,-0.36112753,0.06982981,0.6511136,-0.020511357,0.5467581,-0.14102572,-0.51949346,0.10448268,-0.31698543,0.11797279,0.19175424,-0.1621857,0.16028094,0.074176244,0.17547964,-0.13690002,-0.622766,0.13057858,0.045793124,-0.14177825,0.22039586,-0.33128345,0.14593115,-0.12001672,-0.20639159,-0.14328055,0.39669618,-0.2964343,-0.74866915,0.55810636,-0.24057771,-0.21428104,0.22030246,-0.061698828,0.5464969,-0.5840074,-0.04740583,-0.36291152,0.500222,0.11853797,0.039066833,-0.18831271,-0.57636964
Carmustine,0.097207375,-0.33435538,0.1482483,0.076531954,-0.12610675,-0.10742015,0.064001806,-0.22302946,-0.21863338,0.5232621,0.09599291,-0.015245687,0.25912753,-0.6131804,-0.2159318,-0.17725143,0.18445794,-0.37419167,0.25860098,0.40462887,0.33905205,0.10587062,0.26684326,-0.16156475,-0.018796941,0.22888355,0.1289309,-0.04520732,-0.53184754,-0.2957068,-0.2578285,0.023927556,-0.0781556,0.11179373,-0.08260555,-0.017156105,0.57376254,-0.5182328,-0.27828166,0.75642663,-0.040462006,0.23129559,-0.27480635,-0.033431366,-0.39170536,-0.27747676,0.37892333,-0.24133243,-0.033670828,-0.50512356
Chlorambucil,0.08484299,-0.35800105,0.14974475,-0.043862775,-0.3065435,-0.20802785,-0.11256845,-0.41813418,-0.025150737,0.4479219,0.09014846,-0.10860839,0.11601757,-0.1898683,-0.45122507,-0.20042947,0.5358841,-0.3028339,0.088567115,0.2595786,-0.27284983,0.41652918,0.14975704,-0.18315172,0.11160465,-0.0888093,0.11951019,-0.03680447,-0.50615907,-0.6158691,-0.11959093,0.24636056,-0.054768648,0.18440393,0.11598496,-0.09495703,0.60617715,-0.51460904,-0.52322197,0.5227929,0.09225232,-0.13053684,0.05935764,0.16059513,-0.277352,-0.35041597,0.43573463,-0.027102036,-0.17680463,-0.35168767
Denileukin diftitox,0.11388747,0.09215283,-0.14571644,0.24229495,-0.4834555,-0.10936957,0.20737353,-0.50327885,-0.100404575,0.36749455,-0.07556812,0.19140734,0.053233784,-0.41853747,-0.561061,0.29668927,0.20190957,-0.37492335,0.039608624,0.38286874,0.012854247,0.36612964,-0.27420294,-0.27001676,-0.22505005,-0.14185826,0.20849286,-0.11882191,-0.7562369,-0.2686132,-0.16284819,0.2787938,0.06687462,0.06304313,-0.123386346,-0.31734103,0.1985908,-0.4546687,-0.47008342,0.59412926,0.027932672,0.255871,-0.11669956,0.01659194,-0.10612226,-0.08332033,0.5164975,0.014538244,-0.22706628,-0.43760687
Efalizumab,0.009463179,-0.08996253,-0.00053504773,0.14877628,-0.3926691,-0.3342439,0.046440564,-0.41033491,0.06723922,0.27017763,-0.20160139,0.60990393,0.361303,-0.121048585,-0.31066158,-0.18832698,0.23118576,-0.13593513,-0.23683736,0.3093564,-0.28164807,0.46508378,0.07244131,-0.25952724,-0.12007292,-0.186426,0.20620604,-0.09980326,-0.035928987,-0.06665348,-0.015048282,0.5701448,-0.05256223,-0.13291734,0.19567251,-0.0058827773,0.18103069,-0.45723838,-0.107043736,0.40652353,-0.16587539,0.5832024,-0.21290526,-0.07334912,-0.06264238,-0.30887032,0.4062745,0.10146182,-0.28101832,-0.5654007
Etanercept,-0.1555852,0.100886635,0.009257598,-0.011737647,-0.21252838,-0.18205398,-0.13383107,-0.54297525,0.06935575,0.23249601,-0.10098457,0.41400203,0.20717421,-0.32623988,-0.273898,-0.31503814,0.08162629,-0.32244924,-0.08846454,0.1914854,-0.06958664,0.4792426,0.13636732,-0.36620712,0.06256224,0.03699844,0.28186783,-0.23619947,0.11444161,-0.05123672,0.24548835,0.45123917,-0.5198813,-0.06452175,0.23366056,0.09692496,-0.15997618,-0.4918721,-0.35338742,0.4289508,-0.023791833,0.4353512,-0.17366898,-0.005493909,-0.15159623,0.04851843,0.37105894,-0.22061542,-0.18556733,-0.36182106
Floxuridine,0.17734602,-0.039600704,0.041736197,0.14308023,-0.22361302,-0.31013367,-0.21049312,-0.47528675,-0.30808353,0.34746504,0.011165912,0.102159716,0.03018239,-0.21753755,-0.42156038,-0.24301505,0.38429928,-0.34896332,0.15941337,0.0982356,-0.06142657,0.20016007,0.13509911,-0.21118619,0.10735698,-0.11392267,0.19808054,-0.113994285,-0.3288182,-0.52099,-0.36213383,0.26408705,-0.1673339,0.013566253,-0.0079914825,-0.16652657,0.42298332,-0.5756996,-0.3910642,0.7286305,0.03106098,0.18479005,-0.08159509,0.1729538,-0.39167008,-0.3003563,0.4388725,-0.13668963,-0.080138355,-0.35286728
Gemcitabine,0.18017687,-0.3578633,0.24416412,-0.02887639,-0.04382457,-0.17489363,-0.02490267,-0.21681745,-0.034059208,0.6048816,0.0049290485,-0.12162396,0.1477734,-0.43492228,-0.35739836,-0.10475939,0.34950784,-0.19592291,0.06865257,0.42009854,0.2482637,0.1172375,0.24298878,-0.22070548,-0.0029884914,0.024726087,0.26321563,-0.26925722,-0.39897078,-0.45451266,-0.2092033,0.44515258,0.007349317,0.09915638,0.040714864,-0.02287358,0.5861936,-0.48503327,-0.41065988,0.616822,-0.12125594,0.119845755,-0.16552526,-0.24472566,-0.4667623,-0.25272477,0.45820206,-0.13622756,-0.050966628,-0.34130788
Gemtuzumab ozogamicin,0.1523262,-0.05333725,0.06520809,0.37152985,-0.51327795,-0.14132684,0.22157273,-0.36770067,-0.13040459,0.38134742,-0.12554568,0.020796394,0.080154255,-0.82535094,-0.16379234,0.13587213,0.35327107,-0.2414805,0.15318339,0.3081905,0.15872061,0.08207772,0.3485978,-0.16749021,-0.09330526,-0.18740653,0.35230976,0.03990057,-0.52295077,-0.2570827,-0.21917784,0.51916146,0.28863448,0.0030545497,-0.25051314,-0.14242518,0.42605424,-0.24099974,-0.45423055,0.58188707,-0.19912547,0.4440818,-0.14837912,-0.009571587,-0.3442623,-0.09635592,0.3452459,0.08277291,-0.008945052,-0.4549838
Infliximab,-0.119675376,0.041203737,0.10000525,0.13902761,0.003722162,-0.07091878,-0.14308824,-0.3769334,0.18723923,0.30967924,-0.26656294,0.49042583,0.18251225,-0.5089354,-0.27550033,-0.34935495,0.09448365,-0.32499078,-0.12106407,0.32411632,0.003613375,0.3357379,0.037648946,-0.18336724,0.19796577,0.05390855,0.15313277,-0.11450355,-0.01607639,-0.06166772,0.25880995,0.43804228,-0.5152392,-0.032048985,0.1931474,0.095463224,-0.12703663,-0.52376366,-0.36174923,0.48993027,-0.0035328357,0.48991916,-0.3266768,-0.101594895,-0.38817972,0.17186818,0.37253776,-0.18117785,-0.074580625,-0.4125835
